c_d_dep,departamento,c_d_mun,municipio,grupo_de_cultivo,subgrupo_de_cultivo,cultivo,desagregaci_n_regional_y,a_o,periodo,rea_sembrada_ha,rea_cosechada_ha,producci_n_t,rendimiento_t_ha,estado_fisico_produccion,nombre_cientifico,ciclo_de_cultivo
5,ANTIOQUIA,5440,MARINILLA,HORTALIZAS,ACELGA,ACELGA,ACELGA,2016,2016A,11,11,297,27.0,FRUTO FRESCO,BETA VULGARIS,TRANSITORIO
5,ANTIOQUIA,5440,MARINILLA,HORTALIZAS,ACELGA,ACELGA,ACELGA,2016,2016B,11,11,297,27.0,FRUTO FRESCO,BETA VULGARIS,TRANSITORIO
5,ANTIOQUIA,5440,MARINILLA,HORTALIZAS,ACELGA,ACELGA,ACELGA,2017,2017A,9,9,243,27.0,FRUTO FRESCO,BETA VULGARIS,TRANSITORIO
5,ANTIOQUIA,5440,MARINILLA,HORTALIZAS,ACELGA,ACELGA,ACELGA,2017,2017B,15,15,422,28.1,FRUTO FRESCO,BETA VULGARIS,TRANSITORIO
5,ANTIOQUIA,5440,MARINILLA,HORTALIZAS,ACELGA,ACELGA,ACELGA,2018,2018A,10,10,277,27.68,FRUTO FRESCO,BETA VULGARIS,TRANSITORIO
5,ANTIOQUIA,5475,MURINDO,TUBERCULOS Y PLATANOS,MALANGA,MALANGA,ACHIN,2011,2011,6,6,209,37.4,TUBERCULO FRESCO,COLOCASIA ESCULENTA,ANUAL
5,ANTIOQUIA,5895,ZARAGOZA,"PLANTAS AROMATICAS, CONDIMENTARIAS Y MEDICINALES",PLANTAS CONDIMENTARIAS,ACHIOTE,ACHIOTE (BIJA),2016,2016,5,5,3,0.5,TUBERCULO FRESCO,BIXA ORELLANA,ANUAL
5,ANTIOQUIA,5264,ENTRERRIOS,FRUTALES,FRUTALES EXOTICOS,AGRAZ,AGRAZ,2013,2013,1,1,1,1.6,FRUTO FRESCO,VACCINIUM MERIDIONALE,PERMANENTE
5,ANTIOQUIA,5647,SAN ANDRES,FRUTALES,FRUTALES EXOTICOS,AGRAZ,AGRAZ,2014,2014,4,0,0,,FRUTO FRESCO,VACCINIUM MERIDIONALE,PERMANENTE
5,ANTIOQUIA,5686,SANTA ROSA DE OSOS,FRUTALES,FRUTALES EXOTICOS,AGRAZ,AGRAZ,2014,2014,3,3,6,2.0,FRUTO FRESCO,VACCINIUM MERIDIONALE,PERMANENTE
5,ANTIOQUIA,5264,ENTRERRIOS,FRUTALES,FRUTALES EXOTICOS,AGRAZ,AGRAZ,2014,2014,3,1,1,1.0,FRUTO FRESCO,VACCINIUM MERIDIONALE,PERMANENTE
5,ANTIOQUIA,5647,SAN ANDRES,FRUTALES,FRUTALES EXOTICOS,AGRAZ,AGRAZ,2015,2015,4,0,0,,FRUTO FRESCO,VACCINIUM MERIDIONALE,PERMANENTE
5,ANTIOQUIA,5686,SANTA ROSA DE OSOS,FRUTALES,FRUTALES EXOTICOS,AGRAZ,AGRAZ,2015,2015,3,3,6,2.0,FRUTO FRESCO,VACCINIUM MERIDIONALE,PERMANENTE
